File  .text     Size               Crate Name
0.0%   0.1%     289B                 std core::ffi::c_str::CStr::from_bytes_with_nul
0.0%   0.1%     285B                 std core::unicode::printable::is_printable
0.0%   0.1%     281B                 std std::sys::backtrace::output_filename
0.0%   0.1%     280B                 std core::fmt::num::imp::<impl core::fmt::Display for i32>::fmt
0.0%   0.1%     275B                 std core::unicode::printable::check
0.0%   0.1%     274B                 std core::fmt::builders::DebugList::entry
0.0%   0.1%     271B                 std core::fmt::num::imp::<impl core::fmt::Display for u32>::fmt
0.0%   0.1%     265B                 std core::fmt::num::imp::<impl core::fmt::Display for usize>::fmt
0.0%   0.1%     263B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.1%     263B                 std core::ptr::drop_in_place<(usize,std::backtrace_rs::symbolize::gimli::Mapping)>
0.0%   0.1%     261B                 std std::backtrace_rs::symbolize::gimli::elf::decompress_zlib
0.0%   0.1%     261B                 std core::fmt::Write::write_char
0.0%   0.1%     259B                 std core::slice::sort::shared::pivot::median3_rec
0.0%   0.1%     258B                 std std::backtrace_rs::symbolize::gimli::stash::Stash::allocate
0.0%   0.1%     257B                 std gimli::read::abbrev::Abbreviations::insert
0.0%   0.1%     256B                 std core::num::<impl u64>::from_ascii_radix
0.0%   0.1%     255B                 std gimli::read::reader::Reader::read_sized_offset
0.0%   0.1%     254B                 std rustc_demangle::v0::HexNibbles::try_parse_uint
0.0%   0.1%     253B                 std std::sys::thread_local::guard::key::enable::run
0.0%   0.1%     250B                 std std::sys::thread_local::destructors::linux_like::register
0.0%   0.1%     250B                 std <&std::fs::File as std::io::Read>::read_to_string
0.0%   0.1%     250B                 std core::ptr::drop_in_place<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>
0.0%   0.1%     249B                 std core::unicode::unicode_data::grapheme_extend::lookup_slow
0.0%   0.1%     249B                 std core::ptr::drop_in_place<core::result::Result<addr2line::line::Lines,gimli::read::Error>>
0.0%   0.1%     247B                 std std::sys::sync::mutex::futex::Mutex::lock_contended
0.0%   0.1%     245B                 std std::io::default_read_to_end::small_probe_read
0.0%   0.1%     245B                 std core::ptr::drop_in_place<alloc::vec::Vec<addr2line::unit::SupUnit<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>>
0.0%   0.1%     244B                 std core::slice::sort::unstable::heapsort::heapsort
0.0%   0.1%     243B                 std alloc::raw_vec::RawVecInner<A>::grow_amortized
0.0%   0.1%     243B                 std core::ptr::drop_in_place<addr2line::unit::ResUnit<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.1%     242B                std? <std::io::default_write_fmt::Adapter<T> as core::fmt::Write>::write_str
0.0%   0.1%     241B                 std rustc_demangle::v0::Printer::print_lifetime_from_index
0.0%   0.1%     240B                 std core::str::pattern::simd_contains::{{closure}}
0.0%   0.1%     238B                 std rustc_demangle::v0::Printer::print_backref
0.0%   0.1%     238B                 std rustc_demangle::v0::Printer::print_backref
0.0%   0.1%     234B                 std std::path::Components::parse_next_component_back
0.0%   0.1%     234B                 cl3 cl3::platform::get_platform_ids
0.0%   0.1%     231B                 std core::slice::memchr::memchr_aligned
0.0%   0.1%     229B                 std core::ptr::drop_in_place<core::result::Result<addr2line::function::Functions<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>,giml...
0.0%   0.1%     228B                 std <std::ffi::os_str::Display as core::fmt::Display>::fmt
0.0%   0.1%     225B                 std rustc_demangle::v0::Printer::print_backref
0.0%   0.1%     225B                 std std::path::Path::is_dir
0.0%   0.1%     225B                 std std::path::Path::is_file
0.0%   0.1%     225B                 std gimli::read::line::parse_directory_v5
0.0%   0.1%     224B                 std __truncsfhf2
0.0%   0.1%     221B                 std core::ptr::drop_in_place<std::backtrace_rs::symbolize::gimli::stash::Stash>
0.0%   0.1%     221B                 std core::ptr::drop_in_place<gimli::read::abbrev::AbbreviationsCache>
0.0%   0.1%     221B                 std core::ptr::drop_in_place<addr2line::unit::SupUnits<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.1%     221B                 std core::ptr::drop_in_place<addr2line::unit::ResUnits<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.1%     219B                 std std::sys::thread_local::guard::key::enable
0.0%   0.1%     218B                 std core::slice::sort::unstable::ipnsort
0.0%   0.1%     218B                 std alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle
0.0%   0.1%     217B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.1%     216B                 std core::ops::function::Fn::call
0.0%   0.1%     215B                 std std::sys::sync::rwlock::futex::RwLock::wake_writer_or_readers
0.0%   0.1%     214B                 std <std::backtrace_rs::symbolize::SymbolName as core::fmt::Display>::fmt
0.0%   0.1%     210B                 std std::panicking::begin_panic_handler::{{closure}}
0.0%   0.1%     208B                 std std::sys::fs::unix::canonicalize
0.0%   0.1%     207B                 std std::backtrace_rs::symbolize::Symbol::name
0.0%   0.1%     205B                 std <char as core::fmt::Display>::fmt
0.0%   0.1%     204B                 std alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry
0.0%   0.1%     203B                 std __rustc::__rust_foreign_exception
0.0%   0.1%     203B                 std __rustc::__rust_drop_panic
0.0%   0.1%     201B                 std std::panic::get_backtrace_style
0.0%   0.1%     198B                 std __udivti3
0.0%   0.1%     198B                 std core::ptr::drop_in_place<alloc::vec::Vec<addr2line::unit::ResUnit<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>>
0.0%   0.1%     197B                 std alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::push
0.0%   0.1%     195B                 std std::sys::pal::common::small_c_string::run_with_cstr_allocating
0.0%   0.1%     194B                 std alloc::string::String::try_reserve
0.0%   0.1%     191B                 std core::slice::sort::shared::smallsort::insertion_sort_shift_left
0.0%   0.1%     190B                 std core::escape::escape_unicode
0.0%   0.1%     190B                std? <std::path::Component as core::cmp::PartialEq>::eq
0.0%   0.1%     189B                 std std::sys::pal::common::small_c_string::run_with_cstr_allocating
0.0%   0.1%     188B                 std core::ptr::drop_in_place<alloc::vec::Vec<addr2line::function::LazyFunction<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>>
0.0%   0.1%     187B                 std alloc::raw_vec::RawVecInner<A>::try_allocate_in
0.0%   0.1%     186B                 std core::fmt::Write::write_char
0.0%   0.1%     185B                 std core::str::count::char_count_general_case
0.0%   0.1%     185B                 std std::io::Write::write_all
0.0%   0.1%     184B                 std std::io::stdio::try_set_output_capture
0.0%   0.1%     184B                 std std::sys::pal::common::small_c_string::run_with_cstr_allocating
0.0%   0.1%     183B                std? <std::backtrace_rs::symbolize::gimli::parse_running_mmaps::MapsEntry as core::str::traits::FromStr>::from_str::{{closure}}
0.0%   0.1%     183B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     183B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     183B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     182B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     182B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     180B                 std std::backtrace_rs::symbolize::gimli::elf::Object::search_symtab
0.0%   0.1%     180B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     180B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     179B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     179B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     179B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     179B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.1%     179B                 std core::slice::sort::shared::pivot::median3_rec
0.0%   0.1%     179B                 std core::slice::sort::shared::pivot::median3_rec
0.0%   0.1%     178B                 std core::fmt::pointer_fmt_inner
0.0%   0.1%     178B                 std core::slice::sort::shared::pivot::median3_rec
0.0%   0.1%     178B                 std core::slice::sort::shared::pivot::median3_rec
0.0%   0.1%     175B                 std core::ptr::drop_in_place<alloc::boxed::Box<[addr2line::function::LazyFunction<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>]>>
0.0%   0.1%     174B                 std core::ptr::drop_in_place<core::result::Result<core::option::Option<alloc::boxed::Box<addr2line::unit::DwoUnit<gimli::read::endian_slice::EndianSlice<giml...
0.0%   0.1%     172B                 std gimli::read::reader::Reader::read_uleb128
0.0%   0.1%     172B                 std core::slice::sort::shared::pivot::median3_rec
0.0%   0.1%     170B                 std core::fmt::Formatter::debug_struct_field1_finish
